year_month,ITX_count,GC_count
201601,140901,167625
201602,141916,164048
201603,141089,219234
201604,157524,237565
201605,176039,266941
201606,150226,219516
201607,149813,196039
201608,157298,227395
201609,156940,218053
201610,159959,245710
201611,126247,204816
201612,136183,179409
201701,142225,160968
201702,128416,163172
201703,137159,209097
201704,147959,227444
201705,162412,254757
201706,139372,204946
201707,136832,177504
201708,150188,208931
201709,152690,220342
201710,179544,239946
201711,142663,190627
201712,152064,176800
201801,128180,148328
201802,128201,141277
201803,141228,193438
201804,140091,209915
201805,160296,236993
201806,147135,200903
201807,131003,176984
201808,132494,191153
201809,152710,206037
201810,151656,225541
201811,139816,190788
201812,140415,170280
201901,124098,151262
201902,131992,149849
201903,139915,193618
201904,131086,200345
201905,150438,224957
201906,140950,195879
201907,124133,167219
201908,140620,375056
201909,139916,184375
201910,148842,214495
201911,136725,189992
201912,140734,168207
202001,130144,150468
202002,78590,103570
202003,53320,81602
202004,69417,107039
202005,92463,131566
202006,84191,125858
202007,96156,136388
202008,83978,110785
202009,68487,103145
202010,104944,145978
202011,95857,120070
202012,58017,83373
